K Value,Homogeneity,Runtime
100,0.3640515884570825,201.28017735481262
5100,0.7191076340456041,196.88504910469055
10100,0.7764305920302194,216.25697660446167
15100,0.8101949949588539,238.91668224334717
20100,0.8339537563898229,261.7784914970398
25100,0.8519100890514721,308.1926200389862
30100,0.8666901626525387,345.3085334300995
35100,0.8789164385216176,346.79670906066895
40100,0.8892857580743743,361.5347809791565
45100,0.8982837486156715,397.44838976860046
50100,0.906184875112601,436.6545786857605
55100,0.913061676603926,443.7163608074188
60100,0.9192855458594746,465.84472274780273
65100,0.9249825377767069,486.9233388900757
70100,0.9301555285062756,513.7830295562744
75100,0.9348510890532268,543.8015394210815
81122,0.9398184755849002,591.6801490783691
85100,0.9429977731795375,627.984566450119
90100,0.9466432367944139,679.9088723659515
95100,0.9499915390495525,740.4798893928528
100100,0.9531942078187727,808.9141805171967
105100,0.9560675002242743,890.572235584259
110100,0.9586476681529728,993.6447885036469
