K Value,Adjusted Rand Index,Runtime
100,-0.39728443848346306,179.74843883514404
5100,0.3930357363344401,187.1177875995636
10100,-0.9790663082632427,210.34051656723022
15100,-0.39339809946792337,229.3824427127838
20100,-0.2851411438766166,252.01340532302856
25100,0.2855460635625862,274.64475893974304
30100,0.304520032790422,295.58305406570435
35100,0.31805183677297993,317.06269884109497
40100,0.32806066917724114,342.3772780895233
45100,0.3352765778057747,365.46281599998474
50100,0.3404626175994612,389.706729888916
55100,0.34560575818949907,416.2770507335663
60100,0.34738960779794464,443.8807418346405
65100,0.3503114502213664,471.50168466567993
70100,0.35196808774179933,502.73455834388733
75100,0.35284677255933844,537.8853697776794
81122,0.3543196892424912,586.4056582450867
85100,0.35455730188971507,619.4779236316681
90100,0.3546485542107927,673.3313293457031
95100,0.3552245881904366,731.4335775375366
100100,0.356005131216484,813.3870117664337
105100,0.35615126976839234,884.6783106327057
110100,0.3565288418278225,992.5201759338379
