K Value,Homogeneity,Runtime
100,0.4500652408265437,13.209259033203125
600,0.6281480829962995,13.895721197128296
1100,0.6845518292107147,15.154608964920044
1600,0.7197366479775791,16.264098167419434
2100,0.7434295606377381,17.588003873825073
2600,0.7622825142601332,18.55806565284729
3100,0.7777146850496176,19.543315887451172
3600,0.791074691451684,20.961668491363525
4100,0.8037463072285386,22.37377142906189
4600,0.8142478449522836,22.765934944152832
5100,0.8229682846737927,24.003149271011353
5600,0.832267252643738,25.183554649353027
6100,0.8406798912559696,26.049514055252075
6600,0.8482894184830678,27.36697554588318
7100,0.8553121080306108,28.433252573013306
7600,0.8615305384546217,29.67691707611084
8100,0.8680037899144585,30.602285385131836
8600,0.8740188952784527,31.755887031555176
9100,0.8793255016499351,32.805349588394165
9600,0.884336156048946,33.902787923812866
10100,0.8895876915452661,34.862525939941406
10600,0.8947455036629746,35.849435567855835
11100,0.8990053355356145,36.911325216293335
11600,0.9035719858489814,37.81473469734192
12100,0.9079444507680974,38.8032169342041
12600,0.9119893885591088,40.239511489868164
13100,0.9159129788838456,40.907185077667236
13600,0.9198377452418426,42.75302839279175
14100,0.9233853265902088,44.218700647354126
14600,0.9271180766483342,44.872405767440796
15100,0.9306271918602098,46.41089367866516
15600,0.933774430150622,46.7812979221344
15606,0.9338359270328926,47.09487509727478
16100,0.9369853064171234,47.4660849571228
16600,0.9402034759080059,48.90290880203247
17100,0.9432607632360094,50.322333574295044
17600,0.9464283029874442,51.27376413345337
18100,0.9493515612017092,52.6233651638031
18600,0.9523076486471478,53.70297574996948
19100,0.9551894082900979,55.31773400306702
19600,0.9579861372281415,55.49553465843201
