gtin,descp,ncm,preco
7896000705983,TINTURA COR&AMP;TON CR 5.0 CASTANHO CLARO,33059000,7.989999999999998
7896000705952,TINTURA CR 2.0 PRETO COR&AMP;TON 50G,33059000,7.54
